bg_od_pair,google_duration,trip_path_distance,origin_lat,origin_lng,dest_lat,dest_lng
530330004013 to 530610514003,18.25,9.5425,47.7236275,-122.3521625,47.82082750000001,-122.31157999999999
530330004013 to 530619400013,33.0,26.79227478,47.725698,-122.348865,48.05484000000001,-122.188848
530330004013 to 530730011003,81.0,80.01,47.72349000000001,-122.35412,48.71861,-122.50452
530330004021 to 530330004011,7.25,1.215,47.72146,-122.35549,47.731947500000004,-122.353
530330004021 to 530330004012,15.0,0.78,47.7227,-122.35593,47.73336,-122.35589
530330004021 to 530330004013,1.0,0.237363722,47.722906,-122.355992,47.723733,-122.350882
530330004021 to 530330004022,11.0,0.62,47.71981,-122.35511,47.72286,-122.34811
530330004021 to 530330012002,11.0,2.91,47.72278,-122.35588,47.70837,-122.31895
530330004021 to 530330012003,7.0,2.65,47.72317,-122.35606,47.70847,-122.32293
530330004021 to 530330013002,10.0,1.78,47.72291,-122.35645,47.70307,-122.34906
530330004021 to 530330018001,9.0,2.524630373,47.723953,-122.356107,47.697095,-122.341125
530330004021 to 530330081002,17.0,9.870478335,47.721242,-122.353228,47.606209,-122.332071
530330004022 to 530330003002,6.0,1.61,47.71753,-122.34533,47.73366,-122.33747
530330004022 to 530330004011,7.0,0.65,47.721965,-122.34734499999999,47.72635,-122.34790000000001
530330004022 to 530330004013,4.25,0.797491549,47.719804499999995,-122.3482135,47.726764,-122.3520785
530330004022 to 530330004021,11.0,0.77,47.72053,-122.34702,47.71981,-122.35511
530330004022 to 530330004022,5.0,0.53,47.72294,-122.34792,47.72053,-122.34702
530330004022 to 530330006001,6.0,0.69,47.72102,-122.347,47.7243,-122.34376
530330004022 to 530330012004,9.0,2.24,47.72301,-122.34804,47.71045,-122.32519
530330004022 to 530330012005,8.0,1.87,47.72023,-122.3456,47.70533,-122.3334
530330004022 to 530330013002,26.0,1.18,47.71983,-122.34789,47.70483,-122.34994
530330004022 to 530330017011,10.666666666666666,2.9766666666666666,47.72298000000001,-122.34779333333334,47.69174,-122.35890666666667
530330004022 to 530330017013,6.0,1.70255654,47.720517,-122.347421,47.700472,-122.350879
530330004022 to 530330018003,10.5,1.6031276515,47.7157215,-122.346903,47.6945535,-122.34900599999999
530330004022 to 530330019001,10.0,2.86,47.72263,-122.34751,47.69963,-122.32518
530330004022 to 530330028003,16.0,3.57,47.72001,-122.34508,47.68179,-122.35522
530330004022 to 530330057006,22.0,7.200447147999999,47.720487,-122.347347,47.655286,-122.400451
530330004022 to 530330081002,38.714285714285715,11.332857142857142,47.72309285714285,-122.34798999999998,47.607384285714296,-122.33343714285715
530330004022 to 530330091002,19.0,10.58,47.72298,-122.34791,47.59651,-122.32665
530330004022 to 530330096004,39.0,16.19,47.72081,-122.34624,47.58889,-122.38649
530330004022 to 530330201003,15.0,5.586746661,47.720641,-122.34739,47.777118,-122.384335
530330004023 to 530330007001,11.0,3.41,47.71365,-122.35568,47.71738,-122.29489
530330004023 to 530330024001,15.0,5.519017222,47.714411,-122.357106,47.687477,-122.290296
530330004023 to 530330042002,19.0,6.552978566,47.714411,-122.357106,47.668841,-122.283345
530330005001 to 530330004011,10.333333333333334,1.534050318,47.726447666666665,-122.366533,47.72993966666667,-122.34729
530330005001 to 530330004013,6.0,0.5349999999999999,47.72577,-122.361485,47.723475,-122.354135
530330005001 to 530330005001,31.0,1.61,47.73414,-122.36178,47.73413,-122.36188
530330005001 to 530330017021,8.0,1.6,47.71298,-122.37864,47.70216,-122.35923
530330005001 to 530330093001,35.0,11.54,47.71359,-122.37903,47.59128,-122.31783
530330005001 to 530330207003,13.0,3.63,47.73102,-122.37174,47.76102,-122.35295
530330005002 to 530330006004,7.0,1.945512601,47.720955,-122.361899,47.714179,-122.336878
530330005002 to 530330207002,11.0,3.594009864,47.720955,-122.361899,47.762208,-122.344565
530330005003 to 530330005001,13.0,1.76,47.71598,-122.36733,47.73102,-122.37174
530330005003 to 530330014001,4.0,1.352103296,47.719699,-122.369788,47.710206,-122.354501
530330005003 to 530330018003,8.0,2.602301748,47.719699,-122.369788,47.695478,-122.349267
530330005003 to 530330080022,22.0,8.420819792,47.719699,-122.369788,47.61464,-122.353027
530330006001 to 530330004011,6.166666666666667,0.8462381188333334,47.72640116666667,-122.34115049999998,47.729813,-122.35018566666668
530330006001 to 530330004013,6.0,1.065,47.72508,-122.33927499999999,47.725300000000004,-122.35538
530330006001 to 530330004021,2.0,0.84,47.72427,-122.3429,47.71986,-122.35482
530330006001 to 530330004022,4.0,0.45224947200000004,47.72408766666667,-122.343375,47.72005300000001,-122.34757233333333
530330006001 to 530330006001,5.0,0.4960195857142858,47.724439857142855,-122.33971814285714,47.72454771428572,-122.3372487142857
530330006001 to 530330007001,10.0,2.25,47.72475,-122.34183,47.71588,-122.29522
530330006001 to 530330007003,7.0,1.6,47.7272,-122.34293,47.71926,-122.31231
530330006001 to 530330009001,11.0,3.278353396,47.726176,-122.34362,47.715028,-122.2809
530330006001 to 530330011002,11.0,3.111825968,47.725023,-122.343596,47.703711,-122.306291
530330006001 to 530330012002,3.0,1.2650000000000001,47.724405000000004,-122.32953,47.70843,-122.31823
530330006001 to 530330012003,17.0,2.21,47.72482,-122.34348,47.70792,-122.32131
530330006001 to 530330012005,7.0,1.8756083635,47.7260845,-122.33955499999999,47.7081635,-122.33257950000001
530330006001 to 530330013001,7.5,1.842986386,47.725429500000004,-122.34352100000001,47.7051635,-122.33640000000001
530330006001 to 530330013003,8.0,2.35,47.72707,-122.34468,47.69811,-122.34862
530330006001 to 530330017011,12.0,3.0745744795,47.726359,-122.3429785,47.6910075,-122.355119
530330006001 to 530330017012,12.0,3.02607677,47.726287,-122.34316,47.692761,-122.354597
530330006001 to 530330018001,9.0,3.982366739,47.727029,-122.344776,47.691795,-122.33469
530330006001 to 530330018003,10.25,2.1231893944999998,47.72525425,-122.34324525000001,47.69633625,-122.34282049999999
530330006001 to 530330033003,16.0,4.601873626,47.726005,-122.3436305,47.67472550000001,-122.37531899999999
530330006001 to 530330041001,37.25,8.445,47.722970000000004,-122.34361000000001,47.67418,-122.26081500000001
530330006001 to 530330043021,24.0,4.54,47.72483,-122.34402,47.66492,-122.30394
530330006001 to 530330046001,31.0,3.93,47.72603,-122.34335,47.681,-122.3281
530330006001 to 530330047003,16.0,4.9635115480000005,47.722594,-122.344343,47.668902,-122.381126
530330006001 to 530330051001,40.0,5.34,47.72278,-122.34244,47.66119000000001,-122.33326
530330006001 to 530330052004,9.0,5.333848664,47.725241,-122.339096,47.662432,-122.326493
530330006001 to 530330053012,29.5,8.74,47.723965,-122.33,47.661410000000004,-122.31298
530330006001 to 530330054004,9.0,5.3,47.72271,-122.34095,47.65674,-122.34243
530330006001 to 530330059001,22.0,6.71,47.72411,-122.34367,47.65597,-122.37296
530330006001 to 530330203003,16.0,4.4,47.72266,-122.34236,47.76503,-122.34655
530330006001 to 530330204012,18.0,3.83,47.72374,-122.3438,47.76447,-122.32867
530330006001 to 530330206001,7.0,2.55,47.72821,-122.34497,47.75802,-122.33302
530330006001 to 530330207002,11.0,2.76,47.7248125,-122.34339,47.75821499999999,-122.3469125
530330006001 to 530330207003,8.0,1.930599697,47.724714,-122.343271,47.750222,-122.345984
530330006001 to 530330209001,5.75,1.035,47.7264325,-122.3404,47.73804749999999,-122.3471875
530330006001 to 530330210003,5.5,1.0839817095,47.7280265,-122.342197,47.740111,-122.3436285
530330006001 to 530530734061,51.0,44.95,47.72356,-122.34305,47.1738,-122.25756
530330006001 to 530610504021,23.0,5.71,47.72338,-122.33033,47.80088,-122.33297
