"David W Newell, MD - Seattle Neuroscience Institute",550 17th Avenue Ste 240,Seattle,47.6074024,-122.3097425,ChIJlydMOMRqkFQRg1VSvqplA7c,4.5,hospital,"0    0.99192
Name: distance.value, dtype: float64"
Rainier Medical Center | Kaiser Permanente Washington,5316 Rainier Avenue South,Seattle,47.5542189,-122.2796936,ChIJ7awmfA9qkFQReJ3wjo3MPg0,4.1,hospital,"0    4.760099
Name: distance.value, dtype: float64"
ZOOM+Care,Queen Anne Avenue North,Seattle,47.63636320000001,-122.3573163,ChIJg-UbHxMVkFQRRWA3nJ0s8Uw,4.4,hospital,"0    5.47918
Name: distance.value, dtype: float64"
Visions Northwest,1315 4th Avenue,Seattle,47.60858930000001,-122.3354827,ChIJP3GQ7bNqkFQRUJv6jqfiHCc,3.3,hospital,"0    2.087632
Name: distance.value, dtype: float64"
Swedish West Seattle Primary Care,3400 California Avenue Southwest #300,Seattle,47.57290099999999,-122.386411,ChIJBbR9W15AkFQR_rMzbQrKqSo,3.3,hospital,"0    8.200746
Name: distance.value, dtype: float64"
University of Washington: Department of Pediatrics,1959 Northeast Pacific Street,Seattle,47.6493393,-122.30676470000002,ChIJ89uGFOwUkFQReIDliJVN-Zw,5.0,hospital,"0    2.799876
Name: distance.value, dtype: float64"
Carolyn Downs Family Medical Center,2101 East Yesler Way,Seattle,47.60130669999999,-122.3045966,ChIJpYOzD8JqkFQRY4kVDWwCuo8,4.5,hospital,"0    1.213176
Name: distance.value, dtype: float64"
Emerald City Medical Arts,16 Roy Street,Seattle,47.625595,-122.356028,ChIJ04rJKkIVkFQRNwFUN1w19MU,4.4,hospital,"0    4.68614
Name: distance.value, dtype: float64"
Cabrini Pharmacy Services,901 Boren Avenue #100,Seattle,47.60877800000001,-122.324934,ChIJO2Jv2MlqkFQRi23SlTQHf30,5.0,pharmacy,"0    1.806712
Name: distance.value, dtype: float64"
Eastern's Pharmacy,515 Minor Avenue #120,Seattle,47.6064224,-122.3220492,ChIJf4OkAMhqkFQRRGRx8i3KTLQ,4.6,pharmacy,"0    1.594779
Name: distance.value, dtype: float64"
Bartell Drugs Downtown,1628 5th Avenue,Seattle,47.6126798,-122.337083,ChIJQaN1sbRqkFQRN6UD2WyVjPw,4.1,pharmacy,"0    2.490988
Name: distance.value, dtype: float64"
Kelley-Ross Pharmacy at the Polyclinic,904 7th Avenue #103,Seattle,47.60700620000001,-122.3289018,ChIJvy--5ctqkFQRKK47jj4EcJI,4.1,pharmacy,"0    2.041019
Name: distance.value, dtype: float64"
CVS Pharmacy Specialty Services,1001 Madison Street,Seattle,47.60905460000001,-122.3254753,ChIJTQA1PbZqkFQRD8UKq5oP6dE,2.7,pharmacy,"0    1.476072
Name: distance.value, dtype: float64"
Bartell Drugs University Way Store,4344 University Way Northeast,Seattle,47.6611103,-122.3129917,ChIJkT1x4IoUkFQRON2yO2N9FJk,3.6,pharmacy,"0    3.978869
Name: distance.value, dtype: float64"
Pharmaca Integrative Pharmacy,4130 East Madison Street,Seattle,47.6355614,-122.2787496,ChIJaxkF0rUUkFQR1SvPwUYWcyk,4.5,pharmacy,"0    2.123058
Name: distance.value, dtype: float64"
"Robert Santucci, RPH",325 9th Avenue,Seattle,47.60407599999999,-122.324203,ChIJsaW7rLlqkFQRMhrkt5Fj_v8,5.0,pharmacy,"0    1.83468
Name: distance.value, dtype: float64"
United States Postal Service,415 1st Avenue North,Seattle,47.62289000000001,-122.355808,ChIJ0ejyd0QVkFQR4WHjV3qZae0,2.6,post_office,"0    4.865755
Name: distance.value, dtype: float64"
Park Postal,4111 East Madison Street # 2,Seattle,47.6348424,-122.2789854,ChIJ5wpdx7UUkFQRYx3kOtnXANs,5.0,post_office,"0    1.83903
Name: distance.value, dtype: float64"
