SERIALNO,HINCP,NP,WGTP,DOWNTOWN,NORTHEAST,NORTHWEST,SOUTHEAST,WEST,AGEP,DDRS,ENG,DEAR,DEYE,DOUT,MIG,HISP,JWMNP,BIKING,DRIVING,TRANSIT,WALKING,MALE,FEMALE,SCHL,WHITE_ALONE,BLACK_ALONE,NATIVE_INDIAN,ASIAN_ALONE,PACIFIC_ISLANDER,OTHER_RACE
62,29127,136138.7978655684,2,124,1.0,0.0,0.0,0.0,0.0,31.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0
63,29548,93307.4376140165,2,75,0.0,1.0,0.0,0.0,0.0,72.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,7.5,0.0,1.0,0.0,0.0,0.5,0.5,3.5,0.0,0.0,0.0,0.5,0.0,0.5
64,30311,230388.73484942346,2,109,0.0,0.0,0.0,1.0,0.0,32.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0
65,30712,17383.877265911044,1,64,0.0,0.0,0.0,1.0,0.0,64.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,31578,24714.427920210877,2,129,0.0,0.0,0.0,0.0,1.0,67.5,1.0,0.5240049415992813,1.0,1.0,0.5,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,32218,9969.548889847778,1,76,0.0,1.0,0.0,0.0,0.0,69.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
68,32892,7016.384197686987,1,131,0.0,0.0,0.0,1.0,0.0,71.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
69,33144,68593.00969380562,2,104,0.0,0.0,1.0,0.0,0.0,63.5,1.0,2.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,1.0,0.0,0.0
70,33984,109958.25981449755,2,94,0.0,0.0,0.0,1.0,0.0,67.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0
71,34117,85243.83189428668,4,72,0.0,0.0,1.0,0.0,0.0,29.25,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0,0.5,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0
72,34264,246201.77983227023,3,123,0.0,0.0,0.0,1.0,0.0,28.666666666666668,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,6.666666666666667,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0
73,34862,206302.63984243828,3,63,0.0,0.0,1.0,0.0,0.0,52.333333333333336,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,21.666666666666668,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
74,35382,106921.31740057333,2,104,1.0,0.0,0.0,0.0,0.0,62.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,17.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,36414,83851.0272699697,1,137,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
