hhid,numchildren,hh_wt_revised,hhincome_broad,hhsize,vehicle_count,home_ownership,offpark,year_residence,mean_age,proportion_white,mean_education_year,proportion_employed,proportion_student,mean_distance,mean_depart_time,mean_num_travelers,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,mean_duration,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,cluster
17149617,0,2793.92480992258,3.0,2,2,0.0,1,2,29.5,1.0,5.0,1.0,0.5,3.2485275880000004,765.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.4,0.4,0.2,0.0,0.0,3
17149632,0,7.24053919024203,2.0,1,1,0.0,1,2,29.5,1.0,6.0,1.0,0.0,7.984032770360228,839.1304347826087,1.6956521739130437,0.5217391304347826,0.17391304347826084,0.17391304347826084,0.043478260869565216,0.08695652173913042,26.26086956521739,0.3,0.25,0.4,0.05,0.0,2
17149650,0,7.554182985716831,2.0,2,0,0.0,0,1,34.5,0.0,6.0,0.5,0.0,1.4811432540088334,771.0408163265306,1.5102040816326532,0.0,0.16326530612244894,0.0,0.0,0.8367346938775511,12.306122448979592,0.3125,0.20833333333333331,0.20833333333333331,0.2708333333333333,0.0,2
17149659,0,23.565807624898,4.0,1,1,1.0,1,2,29.5,1.0,6.0,1.0,1.0,2.8825400689999996,552.5,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.5,0.5,0.0,0.0,0.0,3
17149666,0,45.8207741377744,5.0,1,1,0.0,9,3,49.5,1.0,6.0,1.0,0.0,2.7423587713999997,833.0,1.0,1.0,0.0,0.0,0.0,0.0,10.6,0.2,0.2,0.4,0.2,0.0,1
17149709,0,15.4295902066056,5.0,2,2,1.0,2,3,54.5,1.0,4.0,0.5,0.0,4.8394474194,940.0,1.0,0.2,0.0,0.4,0.0,0.4,10.4,0.4,0.2,0.4,0.0,0.0,1
17149733,0,579.370914131956,1.0,1,1,0.0,0,3,29.5,1.0,4.0,1.0,0.0,0.7230687203333334,718.3333333333335,1.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,4.666666666666667,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,2
17149740,0,17.2992066412936,2.0,1,2,0.0,2,3,69.5,0.0,6.0,0.0,0.0,3.6514866814999998,776.25,1.0,1.0,0.0,0.0,0.0,0.0,10.75,0.25,0.0,0.75,0.0,0.0,5
17149767,0,4.68144481831902,5.0,2,1,1.0,1,1,34.5,0.5,6.0,1.0,0.5,6.114060118333334,500.0,1.1666666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,15.5,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,1
17149769,0,7.2108389557879295,1.0,2,0,0.0,0,3,39.5,0.0,4.0,0.5,0.0,3.50406641175,690.0,1.0,0.0,0.0,1.0,0.0,0.0,9.5,0.25,0.0,0.75,0.0,0.0,5
