uv_origin,google_duration,trip_path_distance,hhsize,hh_rent,hh_own,depart_time,hhincome_broad,rent_own,numchildren,vehicle_count,weekday_am,weekday_mid,weekday_pm,weekday_late,residency_under5,residency_over5,income_under25,income_25_50,income_75_100,income_over100,drive_alone,pct_white,trip_wt_final,drive_alone_threshold
Lake City,17.95390105104979,6.0532762915968625,2.326873808250786,0.3158512161553324,0.6841487838446673,13.239492727084937,3.238359897582166,1.3158512161553324,0.5430157019992631,1.6204751637219519,0.24764897050096926,0.1924596977867382,0.5109276768031171,0.027909445738667885,0.31871086363854,0.6812891363614597,0.15966367569997097,0.06885834041417357,0.17232040520549405,0.03924287615668111,0.7520612939153282,0.6074251525987171,6948.203500843001,0
MLK at Holly St,9.05600234999577,3.0882014096725405,3.4535848387735015,0.089424717515274,0.9105752824847271,11.336345332778963,3.9242041521677993,1.089424717515274,0.6029238661811261,2.4848474007609136,0.2125285472008661,0.5917304917732413,0.12162548250220598,0.016158012920032307,0.2525608075136855,0.7474391924863153,0.22175190939861328,0.02321497872564684,1.544936023056602e-05,0.6279351281257105,0.6764694078265235,0.2084850638104804,10931.278233291996,0
Madison-Miller,8.909032975635428,1.5839565978825716,2.1798914058454355,0.5240885659099217,0.47591143409007763,13.042105184665802,3.764899625606064,1.524088565909922,0.33551836909222155,1.02943511700886,0.30385260269611464,0.24490453945630422,0.40171460012489885,0.01967725442472749,0.6945644345789498,0.30543556542105005,0.15562696324678577,0.0,0.017494529952147866,0.2187597573049126,0.12726891553563163,0.9601986622662204,630.0879371880004,1
Morgan Junction,10.832499369450115,2.841116796508836,2.1379807899773775,0.7207879092106131,0.27921209078938725,16.574891675952667,3.4140526850705815,1.7207879092106153,0.23786282642793363,1.2544081118480332,0.06835485526172135,0.10951661043160932,0.4558377860503977,0.28500787060369154,0.7573869838450414,0.24261301615495903,0.025311622466917934,0.025911516113216786,0.0010439052077316218,0.2192728797397851,0.8355674016402856,0.6744103563573212,29966.19689991599,0
North Beacon Hill,10.908051985081604,3.3930457960761955,2.697286012969931,0.28750062332927884,0.7098785326178562,10.066586058565942,3.501483112935666,1.2979839995407385,0.5505202925854146,1.3672941440375275,0.3282215694163638,0.20980996622497344,0.18556049134040717,0.018550059863220097,0.27999122075481386,0.7200087792451861,0.10378892416173255,0.23064399428153592,3.809561069941834e-05,0.4548153361803959,0.22125692776445105,0.37624824837588594,9811.046997204001,1
North Rainier,11.464528640725273,3.2410236249095203,3.145548455790938,0.21041067092367838,0.7533249588902959,13.263921022941135,4.253661896500105,1.3268695204878476,0.9448713484618118,1.8965909850241924,0.32012502235987134,0.32443340328125025,0.1859139026634706,0.13694729772530842,0.29509789649880175,0.7049021035011984,0.01108066778750338,0.0902314410515212,0.0009746792989455399,0.5389063000657228,0.5223854791067656,0.466062418991781,21777.266054500993,0
Northgate,10.619950427267312,2.985460105865044,2.5210365593302426,0.30764235185815786,0.6702390828939718,14.09119224998182,3.7742619277688325,1.375523071304576,0.41893962698479426,1.9739681884670641,0.10456872131751176,0.4267582432069908,0.3259843947944682,0.08494526480937628,0.2721855243673369,0.7278144756326629,0.1288729706286957,0.11703116058084102,0.005219784806197157,0.2942640707175051,0.3878807940965599,0.8534349021847087,60933.35751376304,1
Pike/Pine,13.159151859919698,2.1765343259996146,1.8923875919526973,0.5929609171551945,0.39860196977731904,14.860003930364293,3.717633616215125,1.6267093694251378,0.10551462974480338,1.0250679950897903,0.12731422910812204,0.3159643814397457,0.2820898799562152,0.21334105858610106,0.6500251717549116,0.34997482824508774,0.11584101119779003,0.10459956009632765,0.005164751866995307,0.327302710243134,0.15268694385017595,0.8253191881026037,31966.975686195023,1
Pioneer Square,9.537138019394371,1.891953020589482,2.0542895884293895,0.559476109041653,0.4328730420576212,10.994024992404457,3.303475386932389,1.5747778068431035,0.3731403142346746,0.8474343814982515,0.097855178927682,0.39162032997191,0.2310215769514391,0.05052805052814343,0.5006299591812601,0.49937004081874,0.22899617079441753,0.21110278849078465,0.008749459902929906,0.42156935239022425,0.03148096910591764,0.6513171105529758,5967.7750524739995,1
Rainier Beach,15.070558320291417,5.56843188309878,3.116483955708245,0.04401451241581455,0.8569654967437434,13.241473750971466,3.9166795071939107,1.3410744849371408,0.8045162738255748,2.245245500308451,0.17957332119622285,0.33146089789834643,0.40126696907031967,0.008050421487615875,0.4167031011220556,0.5832968988779447,0.1617691423367779,0.022516759801872028,0.010202052160050433,0.47088652713641277,0.4854936499005549,0.45162731831027775,8941.998558924997,0
