block_group,mode,departure_time,distance,duration,destination,lat,lon,address,class,type,city,rating
530330035003,bicycling,2018-07-26 07:00:00-07:00,1.740211311373524,11.95,Swedish Ballard Primary Care,47.6683269,-122.38093729999999,5350 Tallman Avenue Northwest #301,hospital,,Seattle,4.0
530330006004,bicycling,2018-07-26 07:00:00-07:00,7.765692977004352,51.86666666666667,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330094001,bicycling,2018-07-26 07:00:00-07:00,0.20882535736482288,1.2666666666666666,Beacon Hill Elementary School,47.585077399999996,-122.3153293,2025 14th Avenue South,school,,Seattle,4.3
530330007002,bicycling,2018-07-26 07:00:00-07:00,9.285270354257305,57.05,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330007002,bicycling,2018-07-26 07:00:00-07:00,9.285270354257305,57.05,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330002002,bicycling,2018-07-26 07:00:00-07:00,9.285891858297079,61.55,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330119002,bicycling,2018-07-26 07:00:00-07:00,14.250466128029833,82.18333333333334,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330098002,bicycling,2018-07-26 07:00:00-07:00,0.711622125543816,3.6666666666666665,Safeway,47.580117,-122.38631940000002,2622 California Avenue Southwest,supermarket,,Seattle,4.1
530330039002,bicycling,2018-07-26 07:00:00-07:00,7.037290242386574,43.56666666666667,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330014002,bicycling,2018-07-26 07:00:00-07:00,0.1709136109384711,1.1166666666666667,Viewlands Elementary School,47.7059703,-122.3611763,10525 3rd Avenue Northwest,school,,Seattle,4.5
530330041004,bicycling,2018-07-26 07:00:00-07:00,2.9291485394655066,16.266666666666666,Higher Education Tutors,47.653353700000004,-122.31196000000001,4000 15th Avenue Northeast,school,,Seattle,
530330001005,bicycling,2018-07-26 07:00:00-07:00,0.2367930391547545,1.9666666666666663,Grocery Outlet Bargain Market,47.721644899999994,-122.2952533,3020 Northeast 127th Street,supermarket,,Seattle,4.3
530330111012,bicycling,2018-07-26 07:00:00-07:00,0.3598508390304537,1.7666666666666666,Martin Luther King Jr Elementary School,47.542024700000006,-122.27696399999999,6725 45th Avenue South,school,,Seattle,4.4
